Game,Quantity,Finished,Location,Console,Owner,Boxed,Digital,Unboxed,Sealed,Date Completed,Comments
Remnant From The Ashes,1,Yes,,Xbox One,Steven,,Yes,,,2/2/2020 15:58:00,"Good game, could do with more enemy and weapon variety but I enjoyed it"
resident evil,1,No,Tom's Room,Gamecube,Thomas,,,,,,
Resident evil 2,1,No,Steven’s Room,PS1,"Thomas
",Yes,,,,,
Resident evil 3 nemesis,1,No,Steven’s Room,PS1,Thomas,Yes,,,,,
resident evil 4,1,Yes,Tom's Room,Gamecube,Thomas,Yes,,,,,
Resident evil 4,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,,
resident evil 4(steelbook),1,Yes,Tom's Room,PS2,Thomas,Yes,,,,,
Resident evil 5,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
Resident Evil code veronica japan,2,No,Steven’s Room,Dreamcast,Steven/Thomas,Yes,,,,,
Resident evil director's cut,1,No,Steven’s Room,PS1,Thomas,Yes,,,,,
Resident Evil Outbreak,1,No,Tom's Room,PS2,Thomas,Yes,,,,,
resident evil survivor,1,No,Steven’s Room,PS1,Shared,Yes,,,,,
Resident Evil Zero,1,No,Steven’s Room,Gamecube,Thomas,Yes,,,,,
Resistance 2,1,No,Steven’s Room,PS3,Steven,Yes,,,,,
Resistance Fall of Man,1,No,Steven’s Room,PS3,Steven,Yes,,,,,
Resonance of fate,1,No,Steven’s Room,360,Steven,Yes,,,,,
Rhythm Thief,1,Yes,Steven’s Room,3DS,Steven,Yes,,,,,
ridge racer type 4,1,No,Steven’s Room,PS1,Thomas,Yes,,,,,
road rash,1,Yes,Tom's Room,Gameboy,Steven,Yes,,,,,
rock band 2,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
rogue galaxy,1,No,Steven’s Room,PS2,Shared,Yes,,,Yes,,
Romance of the three kingdoms ver8,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
Ronin Blade,1,No,drawer,PS1,Thomas,Yes,,,,,
Rosco Mcqueen,1,No,Steven’s Room,PS1,Shared,Yes,,,,,
Ruiner,1,Yes,,Steam,Steven,,Yes,,,23/10/2018 11:50:00,Pretty easy but not memorable but beat it about 3 hours
S.L.A.I,1,No,Steven’s Room,PS2,Shared,Yes,,,,,
saga frontier 2,1,No,Steven’s Room,PS1,Thomas,Yes,,,,,
Sakura Taisen Hanagumi Tsuushin,1,No,Steven’s Room,Saturn ,Steven,Yes,,,,,
Sakura Wars,1,Yes,Tom's Flat,PS4,Thomas,,,,,5/3/2021 0:00:01,"I really enjoyed it, easy but dumb good fun. Good length like persona power rangers"
sakura wars so long my love,1,No,Steven’s Room,Wii,Shared,Yes,,,,,
samurai warriors,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,,
Samurai warriors 2 empires,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
Saturn baseball game,1,no,blue rack,Saturn ,Steven,,,Yes,,,
Scrapland,1,No,Steven’s Room,Xbox,Steven,Yes,,,,,
sega mega drive ultimate collection,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
sega superstars,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,,
sega superstars tennis,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
Sega swirl demo disk,1,No,blue rack,Dreamcast,"Shared
",,,Yes,,,
sentient,1,No,Steven’s Room,PS1,Thomas,Yes,,,,,
seven samurai 20xx,1,No,blue rack,PS2,"Thomas
",,,Yes,,,
shadow hearts,1,No,Tom's Room,PS2,Thomas,,,,,,
Shadow Hearts : Covenant,2,No,Steven’s Room,PS2,Steven/Thomas,Yes,,,,,
Shadow of Colossus,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
shadow of rome,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
shadow of the damned,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
Shadow of the Tomb raider,0,Yes,,Xbox One,Steven,,,,,29/05/2019 00:00:00,Better than expected 
Shadow Of War (lotr),1,Yes,,Xbox One,Steven,,Yes,,,16/10/2018 10:00:00,About 7 hours too long (90% complete in 27hours) the epilogue stuff sucks
Shadow the hedgehog - signed,1,Yes,Steven’s Room,Xbox,Steven,Yes,,,,,
Shemune,1,Yes,Steven’s Room,Dreamcast,Shared,Yes,,,,,
shemune (one disk),1,Yes,Steven’s Room,Dreamcast,Shared,Yes,,,,,
Shenmue 2,1,Yes,Steven’s Room,Dreamcast,Shared,Yes,,,,,
Shenmue 2,1,Yes,Steven’s Room,Xbox,Steven,Yes,,,,,
Shenmue 3,1,Yes,Steven’s Room,Ps4,Steven,Yes,,,,12/1/2020 23:11:00,"Good Shenmue game, plot doesn't really get progressed though"
Sherlock Holmes Crime and Punishment,,Yes,,PS3,Steven,,Yes,,,2/10/2018 21:12:00,With Matt - Surprisingly Good! shame about last case glitch
Sherlock Holmes The testament of Sherlock Holmes,1,No,Matt's House,PS3,Steven,,,Yes,,,Unboxed with Manual
shin megami tensei digital devil saga,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
shin megami tensei digital devil saga 2,1,No,Tom's Room,PS2,"Steven
",,,,,,
Shin megami tensei digital devil saga bonus disk,1,No,Steven’s Room,PS2,Steven,Yes,,,Yes,,
shin megami tensei lucifer's call,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
Shin megami tensei Persona 3,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,,
shogun 2 total war,1,No,Steven’s Room,PC,Steven,Yes,,,,,
silent bomber,1,No,blue rack,PS1,Thomas,,,Yes,,,
Silent Hill,1,No,drawer,PS1,Thomas,Yes,,,,,
Silent Hill 4: the room,1,No,Tom's Room,PS2,Thomas,,,,,,
silent hill shattered memories,1,No,Steven’s Room,Wii,Shared,Yes,,,,,
silpheed the lost planet,1,No,Tom's Room,PS2,Thomas,,,,,,
silver,1,Yes,Steven’s Room,Dreamcast,Shared,Yes,,,,,
sin and punishment successor of the skies,1,No,Steven’s Room,Wii,Thomas,Yes,,,,,
Singstar Celebration,1,No,Steven’s Room,PS4,Steven,Yes,,,,,
singstar party,1,Yes,Steven’s Room,PS2,Shared,Yes,,,,,
singstar popworld,1,Yes,Steven’s Room,PS2,Shared,Yes,,,,,
Sins of a solar empire trinity,1,Yes,Steven’s Room,"PC
",Steven,Yes,,,,,
Siren Blood Curse,1,No,Steven’s Room,PS3,Steven,No,Yes,,,,
Skies of arcadia,1,No,Tom's Room,Dreamcast,"Thomas
",Yes,,,,,
Slay the spire,1,Yes,,PC,Steven,,Yes,,,29/02/2020 13:55:00,I enjoy this game way more than I thought 
Sonic 3,1,Yes,Tom's Room,Megadrive,Thomas,Yes,,,,,
sonic adventure,1,Yes,Steven’s Room,Dreamcast,Shared,Yes,,,,,
Sonic adventure 2 battle,1,No,Tom's Room,Gamecube,Thomas,Yes,,,,,
sonic adventure dx,1,No,Tom's Room,Gamecube,Thomas,Yes,,,,,
Sonic and the lost world,1,Yes,Steven’s Room,Wii U,Steven,Yes,,,,4/5/2019 20:54:00,"Solo,  most disappointing sonic game"
Sonic CD,1,Yes,Tom's Room,PC,Thomas,Yes,,,,,Beaten with matt
sonic chaos,1,Yes,Tom's Room,Master System,Thomas,Yes,,,,,
sonic colours,1,Yes,Steven’s Room,Wii,Thomas,Yes,,,,,With Matt
Sonic forces,1,Yes,,PC,Steven,,Yes,,,01/04/2019 21:35,Sad duck (Its actually a good one)
Sonic mega collection +,1,No,Tom's Room,PS2,Thomas,Yes,,,,,
sonic the hedgehog,1,Yes,Tom's Room,Master System,Thomas,Yes,,,,,
soul calibur 3,1,No,Tom's Room,PS2,Thomas,,,,,,
Soul Calibur 7,1,Yes,,PC,Steven,,Yes,,,16/04/2020 23:58:09,Beat the libra of souls mission mode
soul fighter,1,Yes,Steven’s Room,Dreamcast,Shared,Yes,,,,,
South Park the fractured but whole (gold edition),1,Yes,Steven’s Room,Xbox One,Steven,Yes,,,,7/1/2018 0:00:00,last dlc beat on 20th of October 12:12pm
Space Channel 5,1,No,drawer,Dreamcast,Shared,Yes,,,,,
space invaders invasion day,1,No,drawer,PS2,Thomas,,,Yes,,,
spiderman 3,1,No,Steven’s Room,N-Gage,Steven,Yes,,,,,
splatterhouse,1,No,Steven’s Room,360,Steven,Yes,,,,,
spyro enter the ....,1,No,blue rack,PS2,Thomas,,,Yes,,,
Spyro the Dragon,1,No,drawer,PS1,Thomas,Yes,,,,,
star fox adventures,1,No,Steven’s Room,Gamecube,Steven,Yes,,,,,
Star Fox assault,1,No,Steven’s Room,Gamecube,"Steven
",Yes,,,,,
Star Ixion,1,No,drawer,PS1,Thomas,Yes,,,,,
Star ocean second story,1,No,Steven’s Room,PS1,Shared,Yes,,,,,
Star Ocean the last hope,1,No,Steven’s Room,360,Steven,Yes,,,,,
star ocean till end of time,1,No,Tom's Room,PS2,"
Shared",Yes,,,Yes,,
star wars battlefront 2,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
Star wars battlefront 2,0,Yes,,Xbox one,Steven,,Yes,,,9/1/2019 12:00:00,it has its moments 
star wars clone wars,1,Yes,Steven’s Room,Gamecube,Steven,Yes,,,,,
Star wars dark forces,1,No,Steven’s Room,PS1,Thomas,Yes,,,,,
star wars jedi knight jedi academy,1,No,Steven’s Room,Xbox,"Steven
",Yes,,,,,
Star Wars Jedi Knight II: Jedi Outcast,1,No,Steven’s Room,Gamecube,Steven,Yes,,,,,
Star wars republic commando,1,Yes,Steven’s Room,Xbox,Steven,Yes,,,,,
Star wars rogue squadron,1,Yes,Steven’s Room,N64,Steven,Yes,,,,,
star wars rogue squadron 3 rebel strike,1,No,Tom's Room,Gamecube,Shared,,,,,,
Star wars shadow of the empire,1,Yes,Steven’s Room,N64,"Steven
",,,Yes,,,
Star wing,1,No,Steven’s Room,Snes,"Thomas
",Yes,,,,,
starcraft 2,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,,
starcraft 2 heart of the swarm,1,Yes,Steven’s Room,PC,Steven,Yes,,,,,
State of Decay 2,0,Yes,Game Pass,Xbox One,Steven,,Yes,,,8/1/2018 0:00:00,
State of Decay 2 heartland,0,Yes,,Xbox one,Steven,,,,,26/08/2019 10:47:00,Pretty good alround
steel dragon ex,1,No,blue rack,PS2,Shared,,,Yes,,,
stella deus the gate of eternity,1,No,Steven’s Room,PS2,Thomas,Yes,,,,,
stormrise,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
street fighter alpha 3,1,Yes,Steven’s Room,Dreamcast,Thomas,Yes,,,,,
Streets of Rage 4,0,Yes,,Xbox One,Steven,,Yes,,,01/05/2020 0:00:00,lives up to the name
Streets of rogue,1,Yes,,Pc,Steven,,Yes,,,02/09/2019 22:58,"Fun addictive game, beat with Canibal"
suikoden 4,1,No,Steven’s Room,PS2,Shared,Yes,,,,,
suikoden tactics,1,No,Tom's Room,PS2,Shared,,,,,,
summoner 2,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
Sunset Overdrive,1,No,Steven’s Room,Xbox One,Steven,Yes,,,,,
super bust a move,1,No,blue rack,PS2,"Thomas
",,,Yes,,,
Super Mario 3D All Stars,1,,Tom's flat,Switch,Thomas,,,,,,
Super mario all stars 25th anniversary,1,No,Steven’s Room,Wii,"Thomas
",Yes,,,,,
Super Mario Odyssey ,1,Yes,Steven’s Room,Switch,Steven,Yes,,,,20/12/2020 18:18:00,Enjoyable easier than most mario games
Super Mario Sunshine,1,No,Tom's Room,Gamecube,"Thomas
",,,,,,
super monkey ball,1,No,Steven’s Room,N-Gage,Steven,Yes,,,,,
super paper mario,1,No,Steven’s Room,Wii,Thomas,Yes,,,,,
Super smash bros brawl,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,,
Superhot,0,Yes,,Xbox one,Steven,,Yes,,,18/03/2020 21:45:00,"Superhot, Superhot"
Superhot VR,1,Yes,,Oculus Quest,Steven,,Yes,,,19/02/2021 19:45:00,"Good game, makes you feel like a ninja when you get good"
supreme commander,1,No,Steven’s Room,PS2,"Steven
",Yes,,,,,
sword of the berserk guts rage,1,No,Steven’s Room,Dreamcast,Shared,Yes,,,,,
syphon filter 3,1,No,Steven’s Room,PS1,Shared,Yes,,,,,
syphon filter dark mirror,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
syphon filter the omega strain,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
Taikou Risshiden 2,1,No,Steven’s Room,Saturn ,Steven,Yes,,,,,
taito legends 2,1,No,Tom's Room,PS2,Thomas,,,,,,
tales of eternia,1,No,Steven’s Room,PSP,Steven,Yes,,,,,
Tales of graces f,1,No,Steven’s Room,PS3,Thomas,Yes,,,Yes,,
tales of symphonia,1,No,Tom's Room,Gamecube,Thomas,,,,,,
Tales of the abyss,1,No,Steven’s Room,3DS,Steven,Yes,,,,,
tatsunoko vs capcom,1,Yes,Steven’s Room,Wii,Steven,Yes,,,,,
Tech Romancer,1,Yes,Tom's Room,Dreamcast,Shared,Yes,,,,,
Technomancer,1,No,"Tom's Flat
",PS4,Thomas,Yes,,,,,
Tekken 7,1,Yes,Tom's Flat,PS4,Thomas,Yes,,,,,
tekken dark resurrection,1,No,Steven’s Room,PSP,Steven,Yes,,,,,
The banner saga 3,0,Yes,,PC,Steven,,Yes,,,16/04/2020 11:52:00,"Fantastic story, combat can drag but fantastic game"
the beatles rock band,1,Yes,Steven’s Room,360,"Steven
",Yes,,,,,
the bouncer,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,,
the club,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
the darkness,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
The Division,1,No,Steven’s Room,Xbox One,Steven,Yes,,,,,
The Evil Within 2,1,No,Steven’s Room,PS4,Steven,Yes,,,,,
The Final Station,1,Yes,,Steam,Steven,,Yes,,,24/10/2018 13:14:00,Beat in one sitting in 3 hours (not played dlc yet)
The Gardens Between,0,Yes,,Xbox one,Steven,,Yes,,,28/02/2020 09:22:00,"What a clever game, not too hard or too long but just right. Very nice game too"
The Hex,1,Yes,,PC,Steven,,Yes,,,27/02/2020 10:00:00,"I love these games, so clever storywise"
The Last Guardian,1,No,Steven’s Room,PS4,Steven,Yes,,,,,
The Last remnant,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
the last story,1,Yes,Tom's Room,Wii,Thomas,Yes,,,Yes,,
The Order 1886,1,Yes,,PS4,Steven,Yes,,,,25/02/2021 00:03:00,"I enjoyed that much more than I thought, I'd happily play a sequel. Graphics are still great too"
The outer worlds,0,Yes,,Xbox one,Steven,,,,,04/11/2019 20:45,"All round great game, kinda easy though"
The Silver Case,1,No,Steven’s Room,PS4,Steven,Yes,,,,,
The witcher 2,1,No,Steven’s Room,PC,Steven,Yes,,,,,
The Witcher 3 Game of the Year edition,1,Yes,Steven’s Room,PS4,Steven,Yes,,,,,Beat the main game but not the dlc
Theatrhythm ff,1,No,Tom's Room,3DS,"Thomas
",,,,,,
tiger woods 04,1,Yes,Steven’s Room,N-Gage,Steven,Yes,,,,,
tiger woods 08,1,No,blue rack,360,Shared,,,Yes,,,
Time and Eternity,1,No,Steven’s Room,PS3,"Steven
",Yes,,,,,
Time Crisis 5,0,Yes,,Arcade,Thomas,,,,,20/04/2019 14:03:00,Great Yarmouth with Thomas
time crisis project titan,1,No,Steven’s Room,PS1,Shared,Yes,,,,,
time crysis 3,1,No,Tom's Room,PS2,"Shared
",Yes,,,,,
time stalkers,1,No,Steven’s Room,Dreamcast,Steven,Yes,,,,,
Timesplitters Future Perfect,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,,
titans of steel - warring suns,1,No,blue rack,PC,Steven,,,Yes,,,
toejam and earl 3,1,No,Steven’s Room,Xbox,Steven,Yes,,,,,
tomb raider,1,No,Steven’s Room,N-Gage,Steven,Yes,,,,,
tomb raider chronicles,1,No,blue rack,PS1,Shared,,,Yes,,,
tomb raider legend,1,No,drawer,Xbox,Shared,,,Yes,,,
tombi,1,No,Steven’s Room,PS1,Thomas,Yes,,,,,
Tomcat alley,1,No,Tom's Room,megacd,"Shared
",,,Yes,,,
tony hawk's project 8,1,No,blue rack,360,"Shared
",,,Yes,,,
Total War limited edition collection,1,Yes,drawer,PC,Steven,,,Yes,,,
toy commanders,1,Yes,Steven’s Room,Dreamcast,Shared,Yes,,,,,
trap runner,1,No,Steven’s Room,PS1,Shared,Yes,,,,,
Triggerheart exelica,1,Yes,,Xbox 360,Steven,,Yes,,,25/1/2019 00:00:00,
Trinity Universe,1,No,Steven’s Room,PS3,Thomas,Yes,,,,,
Turok,1,No,Steven’s Room,N64,Steven,Yes,,,,,
Turok dinosaur hunter,1,No,Steven’s Room,N64,Steven,Yes,,,,,
twisted metal world tour,1,Yes,Steven’s Room,PS1,Shared,Yes,,,,,
Ultimate Marvel vs Capcom 3,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
Uncharted 2,1,No,Steven’s Room,PS3,Steven,Yes,,,,,
Uncharted 4,1,Yes,Steven’s Room,Ps4 ,Steven,Yes,,,,3/3/2019 23:48:00,the only uncharted game
under the skin,1,No,Tom's Room,PS2,Shared,,,,,,
universe at war,1,No,Steven’s Room,PC,Steven,Yes,,,,,
Unlimited Saga,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
VA-11 Hall-A Cyberpunk bartender action,1,Yes,,Steam,Steven,,Yes,,,11:48 21/10/2018,"Got the bad end, I should play again on new game plus with guide to not get the bad end"
Vagrant Story,1,No,drawer,PS1,Thomas,Yes,,,,,
Valkyria chronicles,1,Yes,Steven’s Room,PS3,Thomas,Yes,,,,,
valkyria chronicles 2,1,No,Steven’s Room,PSP,Steven,Yes,,,,,
Valkyria Revolution,1,Yes,Steven’s Room,PS4,Steven,Yes,,,,03/01/2019 0:00:00," (didnt get secret ending) God I wish I this game has another 6 months developement, the story is interesting but grinding and lack of checkpointing is terrible in the second half"
Valkyrie profile 2,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
Vampr,1,Yes,Steven’s Room,Xbox One,Steven,Yes,,,,28/1/2019 12:45:00,Beat with good ending
Vandal Hearts,1,No,Steven’s Room,PS1,Thomas,Yes,,,,,
Vandal Hearts 2,1,No,Steven’s Room,PS1,Shared,Yes,,,,,
Vanquish,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
Vib-ribbon,1,No,Steven’s Room,PS1,Shared,Yes,,,,,
viewtiful joe,1,No,blue rack,PS2,Shared,,,Yes,,,
Virtua Fighter 1,1,No,Steven’s Room,Saturn ,Steven,Yes,,,,,
Virtua Fighter 2,1,No,Steven’s Room,Saturn ,Steven,Yes,,,,,
Virtua Fighter Remix,1,No,Steven’s Room,Saturn ,Steven,Yes,,,,,
virtua tennis,1,Yes,Steven’s Room,N-Gage,Steven,Yes,,,,,
Virtua Tennis 3,1,No,Tom's Room,360,Shared,,,Yes,,,
virtua tennis 4,1,No,Steven’s Room,Playstation Vita,Steven,Yes,,,,,
Virtual Cop,1,No,Steven’s Room,Saturn ,Steven,Yes,,,,,
Virtual On,1,No,Steven’s Room,Saturn ,Steven,Yes,,,,,
virtue's last reward,1,No,Steven’s Room,Playstation Vita,Steven,Yes,,,,,
wario land super mario land 3,1,No,Tom's Room,Gameboy,Thomas,,,,,,
wario world,1,No,Tom's Room,Gamecube,Thomas,,,,,,
Warioware do it yourself,1,No,Steven’s Room,DS,Steven,Yes,,,,,
warrior kings,1,Yes,drawer,PC,Steven,,,Yes,,,
Warriors All Stars,1,No,Steven’s Room,PS4,Steven,Yes,,,,,
Warriors Orochi 2,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
Wartech senko no ronde,1,No,Steven’s Room,360,Steven,Yes,,,,,
Way of the samurai 2,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
What remains of edith finch,0,Yes,,Xbox One,Steven,,Yes,,,11/5/2020 22:03:00,Really impressive clever story 
White Knight chronicles 2,1,No,Steven’s Room,PS3,Thomas,Yes,,,,,
wild 9,1,No,blue rack,PS1,Thomas,,,Yes,,,
Wild arms,1,No,Steven’s Room,PS1,Shared,Yes,,,,,
wild arms 3,1,No,Tom's Room,PS2,Thomas,,,,,,
wipeout pure,1,No,Steven’s Room,PSP,Steven,Yes,,,,,
Wolfenstein 2,0,Yes,,Xbox One,Steven,,,,,22/06/2019 15:59:00,Fuck that last fight
Wolfenstein Youngblood,0,Yes,,Xbox one,Steven,,Yes,,,18/02/2020 10:30:00,"More story in the last 30 min than the rest of the game, it was fine overall - too many mcguffin quests "
world snooker championship 2007,1,No,blue rack,360,Steven,,,Yes,,,
worms world party,1,No,Steven’s Room,PC,Steven,Yes,,,,,
x men legends 2 rise of apocalypse,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
xenoblade chronicles,4,No,Steven’s Room,Wii,Steven/Thomas,Yes,,,Yes,,2 sealed
Xenoblade Chronicles 2,1,No,Steven’s Room,Switch,Steven,Yes,,,,,
Xenoblade Chronicles X special edition,1,Yes,Steven’s Room,Wii U,Steven,Yes,,,,9/11/2019 16:12:00,"Never have i been so conflicted, its a great game and world with some terrible ideas and ui ideas, beaten in 75 hours"
xenosaga episode 2,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
Yakuza,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,,
Yakuza 0,1,No,Steven’s Room,PS4,Steven,Yes,,,,,
Yakuza 2,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,,
Yakuza 3,1,Yes,Steven’s Room,PS3,Thomas,Yes,,,,,
Yakuza 4,1,Yes,Steven’s Room,PS3,Thomas,Yes,,,,,
Yakuza 5,1,Yes,,PS3,Steven,,Yes,,,20/03/2021 16:24:00,"I do enjoy these games, it may have taken me 3 years but it's the most ridiculous fun"
Yakuza dead souls,1,Yes,Steven’s Room,PS3,Steven,Yes,,,,29/09/2018 00:00:00,
Yakuza Remastered Collection,1,No,"Tom's Flat
",PS4,Thomas,Yes,,,,,
YS - Ark of baptism,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
Ys VII,1,"No
","Tom's Flat
",PS4 ,"Thomas
",Yes,,,,,
yu-gi-oh forbidden memories,1,No,Steven’s Room,PS1,Steven,Yes,,,,,